name,address,phone_number
포토하임 용산CGV점,서울특별시 용산구 한강대로23길 55 씨네샵 6층,
포토하임 IFC몰점,서울특별시 영등포구 국제금융로 10 IFC몰 지하3층,
포토하임 영등포 CGV 타임스퀘어점,서울특별시 영등포구 영중로 15 타임스퀘어 4층,
포토하임 해운대센텀시티점,부산광역시 해운대구 센텀남대로 35 7층,
포토하임 영등포점,서울특별시 영등포구 영중로4길 13-2 1층,
포토하임 명동점,서울특별시 중구 명동길 14 8층,
포토하임 중랑점,서울특별시 중랑구 사가정로51길 27 1층,
포토하임 김포점,경기도 김포시 풍무로 128 5층,
포토하임 왕십리점,서울특별시 성동구 왕십리광장로 17 5층,
포토하임 순천점,전라남도 순천시 봉화2길 19 103호,
포토하임 시흥배곧점,경기도 시흥시 서울대학로278번길 26 1층 129호,
포토하임 강서점,서울특별시 강서구 공항대로45길 63 3층,
포토하임 CGV인천학익점,인천광역시 미추홀구 매소홀로 255 5층,
포토하임 CGV평촌점,경기도 안양시 동안구 관평로170번길 33 8층,
포토하임 CGV계양점,인천광역시 계양구 장제로 738 메트로몰 8층,
포토하임 CGV건대점,서울특별시 광진구 아차산로30길 26 3층,
