name,address,phone_number
포토오브제 성수점,서울특별시 성동구 연무장길 43-1 104호,
포토오브제 건대점,서울특별시 광진구 동일로22길 95,
포토오브제 익선점,서울특별시 종로구 수표로28길 17-30,
포토오브제 송리단길점,서울특별시 송파구 백제고분로45길 7 1층,
포토오브제 샤로수점,서울특별시 관악구 관악로14길 27 101호,
포토오브제 연남점,서울특별시 마포구 성미산로29안길 19 1층,
포토오브제 홍대점,서울특별시 마포구 어울마당로 113 1층,
포토오브제 홍대상수점,서울특별시 마포구 와우산로15길 50 1층,
포토오브제 수원행궁동점,경기도 수원시 팔달구 화서문로 38,
포토오브제 황리단길점,경상북도 경주시 포석로 1078,
포토오브제 남포동점,부산광역시 중구 광복로 37-1,
포토오브제 대구교동점,대구광역시 중구 경상감영길 179,
포토오브제 광안리점,부산광역시 수영구 민락수변로 49 1층,
포토오브제 직영본점,부산광역시 부산진구 중앙대로680번가길 45,
포토오브제 서면로데오점,부산광역시 부산진구 서전로38번길 65,
포토오브제 포항쌍사점,포항시 남구 상대로 74-1 102호,
